system:index,CH4_mean,month,site,year,.geo
0,1900.7683179299286,1,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1885.7327130257238,2,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1884.4919583353394,3,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1893.574525262074,4,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1886.6545283831151,5,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1879.5932596983323,6,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1890.1015811772602,7,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1899.5701657001214,8,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1916.2245862624443,9,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1924.0155151240865,10,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1925.2206405408333,11,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1926.9416635514144,12,Hassi R'mel,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1915.4385973146802,1,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1901.2288609515838,2,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1894.9331634411328,3,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1899.2780136796466,4,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1906.9878435829453,5,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,6,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1910.1831312847114,7,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1913.6222005214815,8,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1926.6330552086947,9,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1922.1725987953077,10,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1935.2852589184818,11,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1922.9192490493008,12,Hassi R'mel,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1912.9428958195845,1,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1904.3082203481263,2,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1907.1442563014498,3,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1909.442254325612,4,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1901.771023450247,5,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1893.464792194277,6,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1900.0214557141337,7,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,8,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1918.3143462748587,9,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1917.9036717044542,10,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1918.429303480682,11,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1923.0934718489198,12,Hassi R'mel,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1916.5244277355143,1,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1901.58759234846,2,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1897.7938804959995,3,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1902.4209955873755,4,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1906.713377733544,5,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1909.811383670656,6,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1892.8522713138452,7,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1907.2065717328971,8,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1921.5452695692084,9,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1922.1587828150384,10,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1928.216989763339,11,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1930.852125562613,12,Hassi R'mel,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1920.3741184961486,1,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1915.6154165645557,2,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1915.685398255596,3,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1911.8862167012583,4,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1922.8446471268787,5,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1916.0730515738092,6,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1914.768088458784,7,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1927.4242826780808,8,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1937.334981298564,9,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1937.1243539722225,10,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1946.673215173076,11,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1946.641384253635,12,Hassi R'mel,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
